TITLE	N-GQD_BC
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:08:09
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    87,00690
MAXY	   100,03275
MINY	    78,27451
XYDATA
399,1927	87,0069
400,1569	89,5232
401,1211	91,2376
402,0854	92,1689
403,0496	92,6875
404,0138	93,1503
404,9781	93,798
405,9423	94,7117
406,9065	95,7712
407,8708	96,6752
408,8350	97,0737
409,7992	96,7644
410,7635	95,8477
411,7277	94,718
412,6919	93,845
413,6562	93,5068
414,6204	93,7004
415,5846	94,2309
416,5489	94,8139
417,5131	95,1271
418,4773	94,9249
419,4416	94,3113
420,4058	93,7475
421,3700	93,57
422,3343	93,797
423,2985	94,3239
424,2627	95,0451
425,2270	95,8518
426,1912	96,6227
427,1554	97,2533
428,1197	97,6946
429,0839	97,9526
430,0481	98,0545
431,0124	98,0142
431,9766	97,8242
432,9408	97,4792
433,9051	97,0102
434,8693	96,5028
435,8335	96,0751
436,7978	95,8272
437,7620	95,7994
438,7262	95,9732
439,6905	96,3019
440,6547	96,7346
441,6189	97,211
442,5832	97,6416
443,5474	97,9061
444,5116	97,9013
445,4759	97,6072
446,4401	97,1127
447,4043	96,5793
448,3686	96,174
449,3328	96,0046
450,2970	96,0757
451,2613	96,2826
452,2255	96,4635
453,1897	96,491
454,1540	96,3425
455,1182	96,1016
456,0824	95,8942
457,0467	95,792
458,0109	95,7392
458,9751	95,5811
459,9394	95,2025
460,9036	94,6306
461,8678	94,0071
462,8321	93,495
463,7963	93,1964
464,7605	93,099
465,7248	93,0645
466,6890	92,8886
467,6532	92,4151
468,6175	91,6331
469,5817	90,6986
470,5459	89,8803
471,5102	89,4415
472,4744	89,4901
473,4386	89,9004
474,4029	90,4091
475,3671	90,804
476,3313	91,0231
477,2956	91,1181
478,2598	91,1688
479,2240	91,2247
480,1883	91,2956
481,1525	91,3758
482,1167	91,4684
483,0810	91,5828
484,0452	91,7132
485,0094	91,8316
485,9737	91,9169
486,9379	91,9917
487,9021	92,118
488,8664	92,3473
489,8306	92,6671
490,7948	92,9912
491,7591	93,2137
492,7233	93,2952
493,6875	93,2953
494,6518	93,3103
495,6160	93,3778
496,5802	93,4587
497,5445	93,5242
498,5087	93,672
499,4729	94,1529
500,4372	95,2311
501,4014	96,9174
502,3656	98,774
503,3299	100,033
504,2941	100,031
505,2583	98,6463
506,2226	96,3846
507,1868	94,0911
508,1510	92,4917
509,1153	91,8628
510,0795	92,0064
511,0437	92,4884
512,0080	92,9261
512,9722	93,1331
513,9365	93,092
514,9007	92,8426
515,8649	92,396
516,8292	91,7394
517,7934	90,9105
518,7576	90,045
519,7219	89,3172
520,6861	88,8314
521,6503	88,5772
522,6146	88,465
523,5788	88,3846
524,5430	88,2496
525,5073	88,0237
526,4715	87,7218
527,4357	87,3835
528,4000	87,037
529,3642	86,6852
530,3284	86,3171
531,2927	85,9316
532,2569	85,5527
533,2211	85,2271
534,1854	85,0031
535,1496	84,8997
536,1138	84,889
537,0781	84,9022
538,0423	84,8599
539,0065	84,7075
539,9708	84,4355
540,9350	84,0745
541,8992	83,6732
542,8635	83,2787
543,8277	82,9288
544,7919	82,6565
545,7562	82,4944
546,7204	82,4708
547,6846	82,5984
548,6489	82,8656
549,6131	83,2384
550,5773	83,6737
551,5416	84,1344
552,5058	84,5996
553,4700	85,0656
554,4343	85,5421
555,3985	86,0445
556,3627	86,586
557,3270	87,1695
558,2912	87,7827
559,2554	88,3985
560,2197	88,9831
561,1839	89,5077
562,1481	89,9613
563,1124	90,3588
564,0766	90,7383
565,0408	91,1492
566,0051	91,6337
566,9693	92,2088
567,9335	92,8567
568,8978	93,5302
569,8620	94,1752
570,8262	94,7555
571,7905	95,2602
572,7547	95,6895
573,7189	96,0355
574,6832	96,2767
575,6474	96,3956
576,6116	96,4056
577,5759	96,3625
578,5401	96,3429
579,5043	96,4025
580,4686	96,5433
581,4328	96,7122
582,3970	96,8334
583,3613	96,8571
584,3255	96,7938
585,2897	96,7073
586,2540	96,6737
587,2182	96,7353
588,1824	96,879
589,1467	97,0467
590,1109	97,1677
591,0751	97,1943
592,0394	97,1242
593,0036	96,9971
593,9678	96,8681
594,9321	96,7804
595,8963	96,7538
596,8605	96,7898
597,8248	96,8796
598,7890	97,0067
599,7532	97,1483
600,7175	97,279
601,6817	97,3803
602,6459	97,4486
603,6102	97,4952
604,5744	97,5378
605,5386	97,5889
606,5029	97,6478
607,4671	97,7017
608,4313	97,7337
609,3956	97,7323
610,3598	97,6961
611,3240	97,6329
612,2883	97,5546
613,2525	97,4735
614,2167	97,4014
615,1810	97,3498
616,1452	97,3295
617,1094	97,3465
618,0737	97,3989
619,0379	97,4775
620,0021	97,569
620,9664	97,6621
621,9306	97,7485
622,8948	97,8225
623,8591	97,8794
624,8233	97,9158
625,7875	97,9305
626,7518	97,9254
627,7160	97,9047
628,6802	97,8737
629,6445	97,8378
630,6087	97,8043
631,5729	97,7837
632,5372	97,7889
633,5014	97,8297
634,4656	97,9039
635,4299	97,9901
636,3941	98,0485
637,3583	98,0331
638,3226	97,9114
639,2868	97,6808
640,2510	97,3721
641,2153	97,036
642,1795	96,7199
643,1437	96,4494
644,1080	96,2247
645,0722	96,0347
646,0364	95,8757
647,0007	95,7616
647,9649	95,7145
648,9291	95,7414
649,8934	95,8158
650,8576	95,8801
651,8218	95,8743
652,7861	95,7706
653,7503	95,5897
654,7145	95,3893
