TITLE	N-GQD_CA_NO2
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:34:58
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    80,91935
MAXY	    99,79958
MINY	    13,16653
XYDATA
399,1927	80,9193
400,1569	83,4618
401,1211	83,4892
402,0854	82,3348
403,0496	81,2882
404,0138	81,1216
404,9781	82,051
405,9423	83,7415
406,9065	85,4088
407,8708	86,1608
408,8350	85,4668
409,7992	83,4658
410,7635	80,9195
411,7277	78,794
412,6919	77,6858
413,6562	77,5294
414,6204	77,7755
415,5846	77,7531
416,5489	76,9551
417,5131	75,3385
418,4773	73,7056
419,4416	73,3876
420,4058	74,7185
421,3700	76,6465
422,3343	78,1036
423,2985	78,7083
424,2627	78,5994
425,2270	78,1806
426,1912	77,9078
427,1554	78,085
428,1197	78,7556
429,0839	79,7432
430,0481	80,7671
431,0124	81,5457
431,9766	81,8721
432,9408	81,6724
433,9051	81,0376
434,8693	80,2013
435,8335	79,4484
436,7978	78,9877
437,7620	78,8754
438,7262	79,0429
439,6905	79,387
440,6547	79,8338
441,6189	80,3284
442,5832	80,774
443,5474	81,0017
444,5116	80,8452
445,4759	80,277
446,4401	79,4611
447,4043	78,6653
448,3686	78,1133
449,3328	77,8793
450,2970	77,8716
451,2613	77,9063
452,2255	77,8247
453,1897	77,5728
454,1540	77,1875
455,1182	76,7271
456,0824	76,2294
457,0467	75,7382
458,0109	75,354
458,9751	75,2074
459,9394	75,344
460,9036	75,6595
461,8678	75,9612
462,8321	76,0818
463,7963	75,9622
464,7605	75,6816
465,7248	75,4189
466,6890	75,3504
467,6532	75,546
468,6175	75,9393
469,5817	76,3764
470,5459	76,6857
471,5102	76,7309
472,4744	76,4506
473,4386	75,8805
474,4029	75,1371
475,3671	74,3683
476,3313	73,7089
477,2956	73,2575
478,2598	73,0648
479,2240	73,1229
480,1883	73,3662
481,1525	73,689
482,1167	73,9733
483,0810	74,114
484,0452	74,0372
485,0094	73,7159
485,9737	73,1764
486,9379	72,4877
487,9021	71,7423
488,8664	71,0397
489,8306	70,474
490,7948	70,1154
491,7591	69,9919
492,7233	70,0858
493,6875	70,3536
494,6518	70,7398
495,6160	71,164
496,5802	71,4971
497,5445	71,5758
498,5087	71,2826
499,4729	70,6671
500,4372	70,0228
501,4014	69,8128
502,3656	70,4022
503,3299	71,7442
504,2941	73,2959
505,2583	74,2832
506,2226	74,1341
507,1868	72,7858
508,1510	70,691
509,1153	68,546
510,0795	66,9282
511,0437	66,0694
512,0080	65,8646
512,9722	66,0349
513,9365	66,3012
514,9007	66,4825
515,8649	66,5147
516,8292	66,4284
517,7934	66,3105
518,7576	66,2549
519,7219	66,3141
520,6861	66,481
521,6503	66,7083
522,6146	66,9445
523,5788	67,1668
524,5430	67,3997
525,5073	67,7057
526,4715	68,1399
527,4357	68,6962
528,4000	69,2972
529,3642	69,8379
530,3284	70,2411
531,2927	70,4921
532,2569	70,6432
533,2211	70,7881
534,1854	71,0158
535,1496	71,3677
536,1138	71,8274
537,0781	72,3462
538,0423	72,8836
539,0065	73,4302
539,9708	73,9992
540,9350	74,5964
541,8992	75,2009
542,8635	75,7747
543,8277	76,2977
544,7919	76,7963
545,7562	77,3366
546,7204	77,9797
547,6846	78,7296
548,6489	79,5198
549,6131	80,2536
550,5773	80,8687
551,5416	81,3753
552,5058	81,8401
553,4700	82,3354
554,4343	82,8927
555,3985	83,493
556,3627	84,0948
557,3270	84,6717
558,2912	85,2287
559,2554	85,7851
560,2197	86,3421
561,1839	86,8669
562,1481	87,3085
563,1124	87,6371
564,0766	87,8746
565,0408	88,0933
566,0051	88,3818
566,9693	88,7985
567,9335	89,3392
568,8978	89,9394
569,8620	90,5119
570,8262	90,995
571,7905	91,3738
572,7547	91,6673
573,7189	91,9017
574,6832	92,0944
575,6474	92,2557
576,6116	92,3992
577,5759	92,5465
578,5401	92,7172
579,5043	92,9161
580,4686	93,1281
581,4328	93,3291
582,3970	93,5043
583,3613	93,6592
584,3255	93,8149
585,2897	93,989
586,2540	94,1784
587,2182	94,3579
588,1824	94,4939
589,1467	94,5638
590,1109	94,5724
591,0751	94,5545
592,0394	94,5616
593,0036	94,636
593,9678	94,7888
594,9321	95,0008
595,8963	95,2403
596,8605	95,483
597,8248	95,7178
598,7890	95,9366
599,7532	96,1199
600,7175	96,2351
601,6817	96,2561
602,6459	96,1922
603,6102	96,0994
604,5744	96,057
605,5386	96,1229
606,5029	96,2968
607,4671	96,5203
608,4313	96,7139
609,3956	96,8185
610,3598	96,8054
611,3240	96,6495
612,2883	96,3026
613,2525	95,7092
614,2167	94,8712
615,1810	93,9195
616,1452	93,1189
617,1094	92,7642
618,0737	93,007
619,0379	93,7464
620,0021	94,6837
620,9664	95,4958
621,9306	95,9926
622,8948	96,1665
623,8591	96,1359
624,8233	96,0349
625,7875	95,9254
626,7518	95,7837
627,7160	95,5589
628,6802	95,239
629,6445	94,8684
630,6087	94,5124
631,5729	94,2059
632,5372	93,9289
633,5014	93,6208
634,4656	93,2199
635,4299	92,6964
636,3941	92,0594
637,3583	91,3422
638,3226	90,5824
639,2868	89,8122
640,2510	89,0531
641,2153	88,3086
642,1795	87,5526
643,1437	86,7268
644,1080	85,761
645,0722	84,616
646,0364	83,3306
647,0007	82,0403
647,9649	80,9454
648,9291	80,2283
649,8934	79,9571
650,8576	80,039
651,8218	80,2671
652,7861	80,4368
653,7503	80,4525
