TITLE	N-GQD_CA
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:22:01
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    79,59370
MAXY	    99,73621
MINY	    42,39575
XYDATA
399,1927	79,5937
400,1569	79,9046
401,1211	78,7588
402,0854	77,6227
403,0496	77,4066
404,0138	78,5028
404,9781	80,7912
405,9423	83,6809
406,9065	86,3193
407,8708	87,9872
408,8350	88,417
409,7992	87,7761
410,7635	86,3902
411,7277	84,4845
412,6919	82,1359
413,6562	79,4015
414,6204	76,4678
415,5846	73,7539
416,5489	72,0098
417,5131	72,2777
418,4773	75,1557
419,4416	79,3975
420,4058	82,454
421,3700	83,1911
422,3343	82,302
423,2985	80,8587
424,2627	79,5645
425,2270	78,7069
426,1912	78,3035
427,1554	78,2877
428,1197	78,648
429,0839	79,4208
430,0481	80,562
431,0124	81,8308
431,9766	82,8142
432,9408	83,1131
433,9051	82,5769
434,8693	81,416
435,8335	80,0947
436,7978	79,0647
437,7620	78,5355
438,7262	78,4395
439,6905	78,559
440,6547	78,6743
441,6189	78,6465
442,5832	78,4314
443,5474	78,0517
444,5116	77,555
445,4759	76,9857
446,4401	76,3839
447,4043	75,7946
448,3686	75,2714
449,3328	74,8675
450,2970	74,6176
451,2613	74,515
452,2255	74,4976
453,1897	74,4557
454,1540	74,2627
455,1182	73,8182
456,0824	73,0962
457,0467	72,1956
458,0109	71,3413
458,9751	70,7712
459,9394	70,5737
460,9036	70,6505
461,8678	70,8215
462,8321	70,9321
463,7963	70,8912
464,7605	70,6636
465,7248	70,2458
466,6890	69,64
467,6532	68,8399
468,6175	67,8367
469,5817	66,6462
470,5459	65,3445
471,5102	64,0864
472,4744	63,0681
473,4386	62,4288
474,4029	62,1695
475,3671	62,1711
476,3313	62,2833
477,2956	62,4
478,2598	62,4906
479,2240	62,594
480,1883	62,779
481,1525	63,0762
482,1167	63,4077
483,0810	63,5646
484,0452	63,2826
485,0094	62,4111
485,9737	61,053
486,9379	59,54
487,9021	58,2751
488,8664	57,5834
489,8306	57,6315
490,7948	58,3813
491,7591	59,5778
492,7233	60,8274
493,6875	61,7907
494,6518	62,3789
495,6160	62,7958
496,5802	63,3655
497,5445	64,2342
498,5087	65,1209
499,4729	65,2986
500,4372	63,9286
501,4014	60,6861
502,3656	56,301
503,3299	52,4634
504,2941	50,9466
505,2583	52,5477
506,2226	56,6402
507,1868	61,5943
508,1510	65,7193
509,1153	68,1169
510,0795	68,9453
511,0437	69,0314
512,0080	69,2187
512,9722	69,9211
513,9365	71,0674
514,9007	72,3308
515,8649	73,4231
516,8292	74,2769
517,7934	75,0283
518,7576	75,8392
519,7219	76,7438
520,6861	77,6566
521,6503	78,4809
522,6146	79,1817
523,5788	79,7893
524,5430	80,3678
525,5073	80,9795
526,4715	81,6583
527,4357	82,4023
528,4000	83,1871
529,3642	83,9836
530,3284	84,7672
531,2927	85,5144
532,2569	86,1968
533,2211	86,7791
534,1854	87,229
535,1496	87,537
536,1138	87,7346
537,0781	87,8958
538,0423	88,1114
539,0065	88,4467
539,9708	88,9074
540,9350	89,439
541,8992	89,9616
542,8635	90,4163
543,8277	90,7922
544,7919	91,1204
545,7562	91,4431
546,7204	91,781
547,6846	92,122
548,6489	92,4345
549,6131	92,6919
550,5773	92,887
551,5416	93,0295
552,5058	93,1385
553,4700	93,2392
554,4343	93,3675
555,3985	93,5708
556,3627	93,8939
557,3270	94,3514
558,2912	94,9022
559,2554	95,448
560,2197	95,8658
561,1839	96,0618
562,1481	96,0231
563,1124	95,8329
564,0766	95,6363
565,0408	95,5713
566,0051	95,7031
566,9693	95,9932
567,9335	96,3203
568,8978	96,5484
569,8620	96,6055
570,8262	96,5182
571,7905	96,379
572,7547	96,2796
573,7189	96,2598
574,6832	96,2987
575,6474	96,3441
576,6116	96,3582
577,5759	96,3418
578,5401	96,3198
579,5043	96,3039
580,4686	96,2691
581,4328	96,1667
582,3970	96,072
583,3613	95,8941
584,3255	95,7008
585,2897	95,5793
586,2540	95,5861
587,2182	95,7208
588,1824	95,9332
589,1467	96,1527
590,1109	96,3188
591,0751	96,4007
592,0394	96,401
593,0036	96,3442
593,9678	96,2593
594,9321	96,1692
595,8963	96,0914
596,8605	96,0405
597,8248	96,0259
598,7890	96,0427
599,7532	96,0657
600,7175	96,0607
601,6817	96,0108
602,6459	95,9391
603,6102	95,9043
604,5744	95,9676
605,5386	96,1497
606,5029	96,4109
607,4671	96,6683
608,4313	96,8424
609,3956	96,8957
610,3598	96,8353
611,3240	96,6824
612,2883	96,4416
613,2525	96,1032
614,2167	95,6802
615,1810	95,2459
616,1452	94,9299
617,1094	94,8548
618,0737	95,0502
619,0379	95,4196
620,0021	95,796
620,9664	96,041
621,9306	96,1112
622,8948	96,055
623,8591	95,9574
624,8233	95,8734
625,7875	95,7957
626,7518	95,6762
627,7160	95,477
628,6802	95,2083
629,6445	94,9228
630,6087	94,6817
631,5729	94,5209
632,5372	94,4375
633,5014	94,4
634,4656	94,3656
635,4299	94,2919
636,3941	94,1401
637,3583	93,8789
638,3226	93,4958
639,2868	93,0119
640,2510	92,4816
641,2153	91,9706
642,1795	91,5196
643,1437	91,1203
644,1080	90,7223
645,0722	90,2732
646,0364	89,7633
647,0007	89,2439
647,9649	88,8015
648,9291	88,4996
649,8934	88,3299
650,8576	88,2098
651,8218	88,0355
652,7861	87,754
653,7503	87,3997
654,7145	87,0731
