TITLE	N-GQD_Glu
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:45:01
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    85,06151
MAXY	    99,12162
MINY	    22,16119
XYDATA
399,1927	85,0615
400,1569	89,0564
401,1211	91,7699
402,0854	93,2419
403,0496	93,9527
404,0138	94,3229
404,9781	94,6191
405,9423	95,0031
406,9065	95,5681
407,8708	96,3132
408,8350	97,1127
409,7992	97,7418
410,7635	97,9773
411,7277	97,7303
412,6919	97,1006
413,6562	96,2874
414,6204	95,4459
415,5846	94,6153
416,5489	93,7413
417,5131	92,771
418,4773	91,8145
419,4416	91,2056
420,4058	91,1956
421,3700	91,7042
422,3343	92,537
423,2985	93,5799
424,2627	94,765
425,2270	95,9857
426,1912	97,0721
427,1554	97,8447
428,1197	98,186
429,0839	98,0665
430,0481	97,5279
431,0124	96,6651
431,9766	95,6217
432,9408	94,5858
433,9051	93,7648
434,8693	93,3321
435,8335	93,3605
436,7978	93,7851
437,7620	94,4333
438,7262	95,0997
439,6905	95,6094
440,6547	95,8404
441,6189	95,731
442,5832	95,3027
443,5474	94,6857
444,5116	94,0988
445,4759	93,7635
446,4401	93,8096
447,4043	94,2393
448,3686	94,9483
449,3328	95,7704
450,2970	96,5267
451,2613	97,0755
452,2255	97,3489
453,1897	97,3545
454,1540	97,1396
455,1182	96,751
456,0824	96,2304
457,0467	95,6481
458,0109	95,1311
458,9751	94,8185
459,9394	94,7664
460,9036	94,9142
461,8678	95,1453
462,8321	95,3614
463,7963	95,5135
464,7605	95,5936
465,7248	95,6028
466,6890	95,5194
467,6532	95,2968
468,6175	94,9039
469,5817	94,3873
470,5459	93,9105
471,5102	93,7197
472,4744	94,0062
473,4386	94,7448
474,4029	95,6765
475,3671	96,4756
476,3313	96,9273
477,2956	96,991
478,2598	96,7666
479,2240	96,425
480,1883	96,1317
481,1525	95,9841
482,1167	95,9803
483,0810	96,0312
484,0452	96,0142
485,0094	95,8511
485,9737	95,5577
486,9379	95,2236
487,9021	94,9434
488,8664	94,7639
489,8306	94,676
490,7948	94,6423
491,7591	94,6363
492,7233	94,6669
493,6875	94,7648
494,6518	94,9429
495,6160	95,1663
496,5802	95,3582
497,5445	95,4341
498,5087	95,3375
499,4729	95,0574
500,4372	94,6256
501,4014	94,1019
502,3656	93,5545
503,3299	93,0441
504,2941	92,6116
505,2583	92,2736
506,2226	92,0257
507,1868	91,8542
508,1510	91,7535
509,1153	91,7393
510,0795	91,8446
511,0437	92,0979
512,0080	92,4957
512,9722	92,9873
513,9365	93,4817
514,9007	93,8723
515,8649	94,0727
516,8292	94,0497
517,7934	93,8384
518,7576	93,5189
519,7219	93,1663
520,6861	92,8204
521,6503	92,4967
522,6146	92,2165
523,5788	92,0258
524,5430	91,9871
525,5073	92,1412
526,4715	92,4616
527,4357	92,8484
528,4000	93,1753
529,3642	93,3483
530,3284	93,3333
531,2927	93,1544
532,2569	92,8788
533,2211	92,5946
534,1854	92,3824
535,1496	92,2887
536,1138	92,3141
537,0781	92,4189
538,0423	92,5418
539,0065	92,622
539,9708	92,6167
540,9350	92,7209
541,8992	92,5538
542,8635	92,3589
543,8277	92,2013
544,7919	92,1422
545,7562	92,2133
546,7204	92,3961
547,6846	92,6256
548,6489	92,82
549,6131	92,9228
550,5773	92,9283
551,5416	92,8759
552,5058	92,8196
553,4700	92,7946
554,4343	92,804
555,3985	92,8268
556,3627	92,8419
557,3270	92,8446
558,2912	92,8464
559,2554	92,8603
560,2197	92,8876
561,1839	92,9149
562,1481	92,924
563,1124	92,9068
564,0766	92,8702
565,0408	92,8347
566,0051	92,825
566,9693	92,8618
567,9335	92,9565
568,8978	93,1092
569,8620	93,3095
570,8262	93,539
571,7905	93,7737
572,7547	93,9841
573,7189	94,1354
574,6832	94,1967
575,6474	94,1562
576,6116	94,0376
577,5759	93,8981
578,5401	93,806
579,5043	93,8085
580,4686	93,9112
581,4328	94,0742
582,3970	94,2309
583,3613	94,3201
584,3255	94,315
585,2897	94,233
586,2540	94,1212
587,2182	94,0303
588,1824	93,992
589,1467	94,0102
590,1109	94,0645
591,0751	94,1216
592,0394	94,151
593,0036	94,1375
593,9678	94,0855
594,9321	94,0137
595,8963	93,9456
596,8605	93,9001
597,8248	93,8837
598,7890	93,8875
599,7532	93,8886
600,7175	93,8614
601,6817	93,7955
602,6459	93,7053
603,6102	93,6248
604,5744	93,5884
605,5386	93,611
606,5029	93,6824
607,4671	93,7821
608,4313	93,899
609,3956	94,0364
610,3598	94,1901
611,3240	94,3157
612,2883	94,3198
613,2525	94,0998
614,2167	93,6118
615,1810	92,9343
616,1452	92,2724
617,1094	91,8735
618,0737	91,8885
619,0379	92,279
620,0021	92,8472
620,9664	93,3604
621,9306	93,6679
622,8948	93,7435
623,8591	93,6576
624,8233	93,5078
625,7875	93,3438
626,7518	93,1699
627,7160	92,9447
628,6802	92,6383
629,6445	92,2585
630,6087	91,845
631,5729	91,447
632,5372	91,1021
633,5014	90,8248
634,4656	90,6019
635,4299	90,3919
636,3941	90,1329
637,3583	89,7626
638,3226	89,248
639,2868	88,6057
640,2510	87,8961
641,2153	87,1889
642,1795	86,5198
643,1437	85,8684
644,1080	85,1764
645,0722	84,3981
646,0364	83,5505
647,0007	82,7282
647,9649	82,0671
648,9291	81,6706
649,8934	81,5432
650,8576	81,5785
651,8218	81,6197
652,7861	81,5559
653,7503	81,3863
654,7145	81,2097
