TITLE	CA
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/05
TIME	12:01:37
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    68,00873
MAXY	    99,03922
MINY	    16,35128
XYDATA
399,1927	68,0087
400,1569	72,0082
401,1211	77,9214
402,0854	83,7952
403,0496	88,5234
404,0138	91,4866
404,9781	92,3639
405,9423	91,2606
406,9065	88,8187
407,8708	86,0305
408,8350	83,8199
409,7992	82,7008
410,7635	82,6596
411,7277	83,2312
412,6919	83,7583
413,6562	83,7292
414,6204	82,9522
415,5846	81,5155
416,5489	79,736
417,5131	78,2361
418,4773	77,8937
419,4416	79,0199
420,4058	80,553
421,3700	81,1759
422,3343	80,5197
423,2985	78,8901
424,2627	76,8009
425,2270	74,8097
426,1912	73,4018
427,1554	72,847
428,1197	73,1349
429,0839	74,0365
430,0481	75,2225
431,0124	76,3752
431,9766	77,2798
432,9408	77,872
433,9051	78,2165
434,8693	78,4227
435,8335	78,5493
436,7978	78,5613
437,7620	78,3696
438,7262	77,9104
439,6905	77,1961
440,6547	76,3115
441,6189	75,3688
442,5832	74,4361
443,5474	73,4802
444,5116	72,3899
445,4759	71,0967
446,4401	69,696
447,4043	68,4609
448,3686	67,7499
449,3328	67,8626
450,2970	68,8903
451,2613	70,6174
452,2255	72,5412
453,1897	74,0316
454,1540	74,5431
455,1182	73,7755
456,0824	71,783
457,0467	69,0611
458,0109	66,4769
458,9751	64,8473
459,9394	64,4342
460,9036	64,9231
461,8678	65,8129
462,8321	66,7201
463,7963	67,4406
464,7605	67,8924
465,7248	68,0488
466,6890	67,8949
467,6532	67,4156
468,6175	66,6096
469,5817	65,5206
470,5459	64,2767
471,5102	63,1062
472,4744	62,2788
473,4386	61,9705
474,4029	62,1737
475,3671	62,7407
476,3313	63,4812
477,2956	64,208
478,2598	64,7404
479,2240	64,9243
480,1883	64,6888
481,1525	64,1077
482,1167	63,4106
483,0810	62,9116
484,0452	62,8638
485,0094	63,3141
485,9737	64,0792
486,9379	64,8739
487,9021	65,4685
488,8664	65,7536
489,8306	65,7211
490,7948	65,4315
491,7591	64,9952
492,7233	64,5466
493,6875	64,1848
494,6518	63,9085
495,6160	63,6098
496,5802	63,163
497,5445	62,569
498,5087	62,0655
499,4729	62,0993
500,4372	63,101
501,4014	65,1141
502,3656	67,5321
503,3299	69,2839
504,2941	69,4666
505,2583	67,9252
506,2226	65,321
507,1868	62,7225
508,1510	61,0502
509,1153	60,6795
510,0795	61,3789
511,0437	62,5708
512,0080	63,6977
512,9722	64,451
513,9365	64,7755
514,9007	64,7478
515,8649	64,4642
516,8292	64,0112
517,7934	63,4954
518,7576	63,0502
519,7219	62,7772
520,6861	62,6857
521,6503	62,7049
522,6146	62,7441
523,5788	62,7457
524,5430	62,7077
525,5073	62,6737
526,4715	62,6936
527,4357	62,7788
528,4000	62,8919
529,3642	62,9729
530,3284	62,9678
531,2927	62,8431
532,2569	62,5911
533,2211	62,2367
534,1854	61,8413
535,1496	61,4942
536,1138	61,2884
537,0781	61,2847
538,0423	61,4805
539,0065	61,7996
539,9708	62,1156
540,9350	62,3039
541,8992	62,2944
542,8635	62,0985
543,8277	61,7978
544,7919	61,5015
545,7562	61,2921
546,7204	61,1885
547,6846	61,1458
548,6489	61,0938
549,6131	60,9855
550,5773	60,8236
551,5416	60,6536
552,5058	60,5345
553,4700	60,5105
554,4343	60,5977
555,3985	60,7847
556,3627	61,0396
557,3270	61,3149
558,2912	61,5475
559,2554	61,6654
560,2197	61,606
561,1839	61,3474
562,1481	60,9345
563,1124	60,4797
564,0766	60,124
565,0408	59,9764
566,0051	60,0584
566,9693	60,2868
567,9335	60,5111
568,8978	60,5971
569,8620	60,5077
570,8262	60,3178
571,7905	60,1536
572,7547	60,105
573,7189	60,1703
574,6832	60,2575
575,6474	60,2424
576,6116	60,0507
577,5759	59,7096
578,5401	59,3309
579,5043	59,0432
580,4686	58,9295
581,4328	59,0043
582,3970	59,2303
583,3613	59,552
584,3255	59,9201
585,2897	60,2956
586,2540	60,6437
587,2182	60,9355
588,1824	61,1615
589,1467	61,347
590,1109	61,55
591,0751	61,8332
592,0394	62,2189
593,0036	62,6622
593,9678	63,0719
594,9321	63,3671
595,8963	63,5245
596,8605	63,5855
597,8248	63,6304
598,7890	63,735
599,7532	63,9311
600,7175	64,1893
601,6817	64,4362
602,6459	64,5957
603,6102	64,6266
604,5744	64,5385
605,5386	64,3823
606,5029	64,2252
607,4671	64,1232
608,4313	64,1035
609,3956	64,1633
610,3598	64,2818
611,3240	64,4352
612,2883	64,6041
613,2525	64,7729
614,2167	64,9249
615,1810	65,0412
616,1452	65,1089
617,1094	65,1304
618,0737	65,1256
619,0379	65,1207
620,0021	65,1329
620,9664	65,165
621,9306	65,2119
622,8948	65,2742
623,8591	65,3644
624,8233	65,4993
625,7875	65,6833
626,7518	65,8936
627,7160	66,0869
628,6802	66,2223
629,6445	66,2868
630,6087	66,3024
631,5729	66,3123
632,5372	66,3534
633,5014	66,4321
634,4656	66,5234
635,4299	66,5939
636,3941	66,6327
637,3583	66,6631
638,3226	66,7251
639,2868	66,8424
640,2510	67,0006
641,2153	67,1529
642,1795	67,2498
643,1437	67,2694
644,1080	67,2247
645,0722	67,1464
646,0364	67,0565
647,0007	66,956
647,9649	66,8344
648,9291	66,6907
649,8934	66,5447
650,8576	66,4288
651,8218	66,3686
652,7861	66,371
653,7503	66,428
654,7145	66,5286
